"intersection","n_bad","mean_tau","sd_tau","mean_spear","sd_spear"
"B",1,0.937123964234523,0.0125976863344048,0.991449362621303,0.000138839361787185
"B",2,0.932677003150253,0.0134025147262821,0.990121997792406,0.0001510241779721
"B",3,0.935192798735656,0.0117356813254632,0.990802035561699,0.000122335230994771
"B",4,0.932069001654716,0.0152821059926445,0.990096872262418,0.000152026627105052
"B",5,0.935143881010031,0.015113299961926,0.990733751398865,0.000161158542953167
"B",6,0.932032986255727,0.0140242530063945,0.990179320707875,0.00015645638305163
"B",7,0.933062728982378,0.0143749681222542,0.990409885729036,0.000159190682007701
"B",8,0.935265921162986,0.0124255508109922,0.99101014981335,0.000142047617767439
"B",9,0.931739897608528,0.0143436726885004,0.990053793063617,0.000165733952405619
"B",10,0.931998930330753,0.0146807988165197,0.9900977174318,0.000202169132518896
"B",11,0.93067941529553,0.015681228603264,0.98981002837121,0.000215372519799252
"B",12,0.931891213151927,0.0119026866838583,0.990173205949046,0.000200522647648601
"B",13,0.929037900874636,0.0153862128488435,0.989495920458776,0.000230397914510069
"B",14,0.92908885400314,0.0142151040235114,0.989425582820541,0.000226848839688103
"B",15,0.930480887934121,0.0148929201023533,0.989587211726796,0.000236077361987821
"B",16,0.929266628341477,0.0160800130029086,0.989452925959116,0.000255214132858874
"B",17,0.927754928968054,0.0148621927776053,0.989271270345594,0.000305494879456829
"B",18,0.927495035460993,0.0163734335857729,0.989121377912867,0.000290599832652063
"B",19,0.927331599970949,0.0156065404772225,0.988901212869489,0.000258480210657872
"B",20,0.925764198250729,0.015185480909415,0.988661104441777,0.000372009787922953
"B",21,0.926012083973374,0.0146178379221932,0.988573848464117,0.000376274959169356
"B",22,0.922642666275143,0.01654291023068,0.987663026073739,0.000365423101051744
"B",23,0.924098725410742,0.017158393540521,0.988053594289701,0.000437664143906923
"B",24,0.922776515823721,0.0150539793047074,0.987890516206483,0.000394500287355182
"B",25,0.923662189239332,0.0159152914543188,0.987857133253301,0.000454096674253963
"B",26,0.923050379859973,0.0154027784074165,0.987869450846032,0.000507911799876901
"B",27,0.918040876130672,0.0167573890552054,0.986624561033205,0.000594113333186975
"B",28,0.918659783913565,0.0163763252290466,0.986747475460773,0.000572351213281575
"B",29,0.916010964681075,0.0169899597884993,0.986012766730308,0.000492873887364871
"B",30,0.920498201058201,0.0173950640758293,0.987303639678093,0.000536143450443067
"B",31,0.916430619831576,0.0182053779393659,0.98599247937093,0.000490393799794948
"B",32,0.915196649406031,0.0175680425276572,0.985845657666051,0.000604141918031023
"B",33,0.916815103569518,0.0167669513661824,0.986582483780029,0.000552001700065539
"B",34,0.915205769525855,0.0168028144254588,0.985862466490356,0.000583719977703892
"B",35,0.915001678860223,0.0156189218109137,0.985796034338264,0.000550555221675053
"B",36,0.911618429189858,0.0171435914030629,0.9849670995671,0.000694788138374847
"B",37,0.913945526499573,0.0168294104557203,0.985519163406808,0.000744587381000969
"B",38,0.90842212182583,0.0196685402111969,0.983720546539226,0.000971720614583361
"B",39,0.908959011650637,0.0173484412611144,0.984031210645178,0.000682534735649811
"B",40,0.906878241758242,0.0190720225858774,0.983589923353957,0.000742922292893818
"B",41,0.907823118745568,0.0168810410436313,0.983466593741744,0.000783567902216927
