"intersection","n_bad","mean_tau","sd_tau","mean_spear","sd_spear"
"C",1,0.934035574363525,0.012775129752706,0.990505060887231,0.000124326250459704
"C",2,0.935705848513902,0.0138740157919169,0.991083045835784,0.000201422461235844
"C",3,0.934088696488697,0.0128423013261793,0.99066749123892,0.000218238110589282
"C",4,0.932198731384446,0.0152347039759675,0.990228590895818,0.000220996514249305
"C",5,0.933755849187133,0.0133649317623396,0.990554446049606,0.00021127220058957
"C",6,0.931092211578509,0.0160869774396892,0.989751783162244,0.000223439040328712
"C",7,0.935183060527965,0.0140372617527687,0.990898065710926,0.00021496195176534
"C",8,0.933173553256919,0.0124106550925351,0.990465720534789,0.000176502653931824
"C",9,0.932515716389649,0.0135044590573956,0.990277041125729,0.000209942367174399
"C",10,0.931982322308234,0.0143593598786738,0.990162417518732,0.00022578080325959
"C",11,0.930663145258103,0.0136173826898002,0.989828023112359,0.000235221749429762
"C",12,0.931218140589569,0.0116687240004965,0.990053191276511,0.000274044977959226
"C",13,0.928575865746996,0.0148886061516578,0.989195152904367,0.000334045397881674
"C",14,0.927773084058798,0.0153206108379988,0.988915350196023,0.000311711586382891
"C",15,0.92915649122807,0.0160458594383321,0.989451834628588,0.000287073196865632
"C",16,0.929456165564817,0.0142647430926993,0.98948645824527,0.000279357290431116
"C",17,0.929442215331362,0.0153601516201846,0.98936138695761,0.000407768184032363
"C",18,0.928220408163265,0.0150649503305376,0.989088704417937,0.000354655739095411
"C",19,0.924467020117656,0.0146921809553229,0.988329281890692,0.000344348302060354
"C",20,0.922968163265306,0.0164646399373049,0.987939646715829,0.000426850176876204
"C",21,0.924151035037671,0.0159246829405681,0.988218341099881,0.000461138389695749
"C",22,0.923511496109235,0.0157879366285861,0.987899667492896,0.000456347765765527
"C",23,0.919812510130406,0.0158620568374285,0.987059125166312,0.00046901837040736
"C",24,0.924637740313517,0.0152809644170786,0.988330970649129,0.000449059806511132
"C",25,0.918526159554731,0.014056104758161,0.986752471461312,0.000455564761209868
"C",26,0.91750770147475,0.0179625853544695,0.986615557171774,0.00047931817436807
"C",27,0.919414158630485,0.0170411225507501,0.986773927153279,0.000493018731191212
"C",28,0.916034033613445,0.0162062297369488,0.98626999858767,0.000614800828515861
"C",29,0.916196460576851,0.0175307771153203,0.985904324829563,0.000492430582375709
"C",30,0.912879213907785,0.0171465502621158,0.985122859810591,0.000623229335696612
"C",31,0.909447234655944,0.0206847548982633,0.983853300427978,0.000649258820398829
"C",32,0.909790252817545,0.0182466232798715,0.984310161079357,0.000706143872615551
"C",33,0.908945348926087,0.0184283141434567,0.984086970518545,0.00069171589344183
"C",34,0.908587202700629,0.0196228963625488,0.984033988933919,0.000776412591960844
"C",35,0.906587477859068,0.01806328611583,0.982887182948651,0.000823418208010602
"C",36,0.907881941867656,0.0177668290644164,0.984037189421223,0.000788639312616193
"C",37,0.903619213160549,0.0191905531093335,0.982228357807001,0.000853967718898806
"C",38,0.903015236018071,0.0192424792262253,0.982299889115952,0.000836636775074852
"C",39,0.898000469153179,0.0220476256584989,0.980502372903184,0.000755547416661449
"C",40,0.904015321821036,0.0183183890299,0.982577253670699,0.000873889446368352
"C",41,0.898604806555827,0.0196903916047983,0.981039109697933,0.000949643354938713
"C",42,0.897789400411327,0.0217302304736664,0.980215278669607,0.00101701658732372
"C",43,0.892637497022155,0.0199598895114993,0.978887467827598,0.000887036954689487
"C",44,0.894812117346939,0.0206790249145761,0.979903398859544,0.000943297712806831
"C",45,0.892777847138856,0.0216163315175186,0.978775973448203,0.00121359640618843
"C",46,0.88964994375703,0.0214397350541601,0.978238069400989,0.00127290988435761
"C",47,0.888000516253932,0.0216030467783252,0.977171296660957,0.00124135267669058
"C",48,0.882969225785552,0.0242420597926959,0.97575036109682,0.00131641289596153
"C",49,0.886095910236605,0.0216739562613718,0.977487535571998,0.00118365783669824
"C",50,0.880264881632653,0.0237470062464797,0.974681434813926,0.00135377349467042
"C",51,0.880967133841488,0.0259571931949008,0.974767441434405,0.00138351856212597
"C",52,0.871700263331139,0.0242328932817741,0.971354257832165,0.00125882040973502
"C",53,0.87610337932744,0.0259355974899328,0.972717340863471,0.0015386023031121
"C",54,0.871385365853659,0.0255821214238984,0.970884166349467,0.00172868882570759
"C",55,0.872874102457309,0.0235359490453097,0.971648044687263,0.00152531102867512
"C",56,0.865139444630311,0.0255677255260027,0.969192895518863,0.00183424285859238
"C",57,0.868766473502981,0.025635126135068,0.969870101126871,0.0014354971927626
"C",58,0.866680586945522,0.025019364553987,0.969974557756987,0.00159332026945188
"C",59,0.861057227538318,0.0308480298156354,0.966973090314964,0.00194129321608425
"C",60,0.864408979591837,0.0234016146916665,0.968654449779912,0.00148768373067356
"C",61,0.857309538041158,0.0274298436341341,0.965804782833636,0.00185635643759036
"C",62,0.849899708454811,0.0330527458416516,0.962067787787384,0.00192510155050791
"C",63,0.852495306983553,0.0238100318219237,0.963557870743234,0.00181007852676678
"C",64,0.848645243860256,0.0262419720656701,0.96234785846542,0.00185505754685142
"C",65,0.847027425097699,0.034187184682067,0.96024439120329,0.00183721955451394
"C",66,0.845039944182801,0.029116879015981,0.960313253506531,0.00189876706658082
"C",67,0.833771813961636,0.0343496161195555,0.955100354991782,0.00212440934853677
"C",68,0.836550105559465,0.031235965558101,0.955860268245229,0.00234096407752115
"C",69,0.841457443237035,0.0335411030830365,0.957957437520463,0.00228514568497227
"C",70,0.829589068322981,0.0293717586106684,0.952631715642779,0.00189280089108758
"C",71,0.83077893235897,0.031320563664092,0.953230679870201,0.00243978860305094
"C",72,0.833887289652703,0.0309368396396617,0.955468145152798,0.00224306381961921
"C",73,0.831252719590039,0.0317189230617856,0.953578482318037,0.00267574057595834
"C",74,0.826309048221058,0.0389878586075823,0.950852451423047,0.00256502545150165
"C",75,0.826292970521542,0.0348650685288449,0.950883999466453,0.00273626002794876
"C",76,0.820866690962099,0.0320885062688047,0.948860405590808,0.0024338982280039
"C",77,0.814908538482658,0.0359924590401891,0.946343513907805,0.00254250737293388
"C",78,0.819397389225961,0.0324795273892936,0.948799818305701,0.002481099259355
"C",79,0.809879841167236,0.0315007907147796,0.943918436877013,0.00304227551715281
"C",80,0.799445046382189,0.0377556658208761,0.936910457273819,0.00280723752748887
"C",81,0.798785425403038,0.0383135834171346,0.936556759690177,0.00304929619928082
"C",82,0.800566186107471,0.0346445148508192,0.937561086820049,0.00368672135447514
"C",83,0.796260020690304,0.0372668525283128,0.935632394155819,0.00258259593715269
"C",84,0.793339380196523,0.0406585133406986,0.933773029211685,0.00301572200452952
